Tweet	Offensive	Targeted	Target
@keyboardriot La ancom, salariile sunt mai mari decât la romatsa	0	0	0
„Din culisele cinematografiei“. Cum a scăpat actorul Constantin Codrescu de teroarea Securităţii...	0	0	0
Ludovic*, în plm.	0	0	0
@piticu21 Clarvazatorule!	0	0	0
@stirbei Sa trăiești. La mine, la țară, la Teleorman, nu cresteau cocoși, decat cocoși. Uite asa ne-am facut noi mari cu saramura cu cotoi de cocoș.	0	0	0
Imaginati-va că azi ar fi ca Ministru al Sănătății Eugen Nicolăescu in locul lui Victor Costache. Coșmar!	0	0	0
Dacă cineva pune o întrebare cu două variante iar răspunsul tău e o a treia variantă, continuă-ți drumul, în tăcere.	0	0	0
@LTeglas Eu am doar ceva cu cei care ii ridica in slavi pe chinezi. Parca au complexul Stockholm. Normal ca e ok de oriunde ar veni vaccinul.	0	0	0
Lazio a marit oferta pentru Ianis Hagi: "Transferul e pe ultima suta de metri"	0	0	0
Șefa UPU de la Spitalul de pediatrie din Iași poartă masca ca un fund, respectiv sub nas.	0	0	0
@b0bsacaman0 @stefanheisu12 @AndreiCismaru La filmul ăla despre un meci de fotbal într-o cupă europeana, o echipa englezească (cred că Arsenal) și una din Spania (o fi Sevilla?) au făcut amestec de zeci de mii de suporteri înghesuiți ca la orice meci. Zece pe centimetru pătrat. Scuze, nu mai știu meciul recent.	0	0	0
Documente false descoperite la controlul de frontieră #politiadefrontiera via @FrontieraRO	0	0	0
@vlad_nicoara @clotilde_armand Eu daca acuma fac o masina si testez farurile tu imi zici ca nu-i buna ca nu are motor. Romanian logic in a nutshell.	0	0	0
@keyboardriot @ZoliBara Sper că nu e fake news	0	0	0
@ingerisidemoni Idem ... dar lumea vrea sa fie mințita , din păcate .. dacă i spui la unu ești urat și prost sa vezi ce repede face bot, la fel si in cazul in care ai spui la unu ca e incompetent sau ( la cele care ți place ție ) dacă i spun la una ca pute ...	0	0	0
@RoxanaPisicutza Numele meu este Dan si vreau sa stii ca eu caut o relatie de prietenie, discreta, plina de sex ocazional.	0	0	0
@victorciutacu Vanam damele de Companie , incercam sa le coordonam si sa facem din ele femei serioase , de casa  . Noi incercam dc reusim , reusim daca nu aia e	0	0	0
Trei noi decese din cauza coronavirus, în România. Bilanțul la nivel național ajunge miercuri la 17 persoane	0	0	0
Treaba cu stirea asta e ca avem acces la substanta si o sa putem face si noi daca e buna	0	0	0
Breaking!!! In toamnă posibil vaccin românesc pentru covid. Timisoara!	0	0	0
dați un bip când vedeți primul influencer recunoscând că a realizat că fost prost în ultimii ani...	0	0	0
@ZoliBara @SorinPaun3 @KlausIohannis Bai oligofrenule, SARS este mult, mult mai agresiv dar mai putin contagios decât COVID, si tu compari CoVid cu Ebola? Esti bolnav psihic. Da cu rudotel, dementule!	1	1	1
@IonHermeneanu Mulțumesc din suflet! 🤗	0	0	0
Google Podcasts ajunge şi pe iOS, primeşte o interfaţă nouă în toate versiunile	0	0	0
ANM: Cod portocaliu de viscol şi vânt puternic în mare parte din țară -	0	0	0
@MihaiHristea @Costindte Baieti eu trebuie sa va refuz...sunt in autoizolare! Dar pot sa o trimit pe soacra? 🤪	0	0	0
Gică Hagi îmi da o doză de optimism prin clipul ăsta. Mulțam pt share Emi!	0	0	0
pe strada de lângă casa mea un canal local filmează cum trec oamenii, dacă trece vreun cuplu care face jogging sau o pereche de părinți care au scos la plimbare copii - filmează, dacă trece o singură persoană, sau nu trece nimeni câte 5-10 minute(ce tot se întâmplă) - nu filmează	0	0	0
Londra numai cu armata o poți ține în casă. Același trafic infernal.	0	0	0
ce fraier, pai ce stiau aia de acum 100 de ani, ce stiu eu azi??	0	0	0
A făcut cineva un calcul câți oameni o sa dea in ciroză din cauza depresiei de virus și a izolării forțate? (M-am abținut sa zic “cu nevasta” 😬)	0	0	0
cui ii plac cacaturile de genu sa mi dea n plm unfollow	0	0	0
PNL îmi amintește de cea mai mare mizerie din politica internă postdecembristă: CDR. Vă amintiți de panaramele alea, PNȚCD, USD, PLM. Ciorbea & compania. Era anul și Guvernul #BPÎRL	0	0	0
care ati facut roots struggle tweets bag pula in voi e numa o chestiune de timp pana cand ajung pe cont, singura cititoare de homestuck din tara	1	1	2
Sa nu uitam ca am ajuns aici pentru ca cineva care facea foamea in comunismul chinez, a mancat ce a nimerit si s-a contaminat. Orice altceva e pranoia. #ChineseVirus  #comunismuleboala	0	0	0
Conform proiectului de Ordin, publicat pe site-ul MMAP la câteva zile după confirmarea primului caz de coronavirus în România, peste 14.000 de căprioare care ar urma să fie împușcate de vânători, dacă documentul va fi aprobat, sunt femele și pui.	0	0	0
@TanarulD Iar presiunea uriașă asupra cadrelor medicale(obligate să lucreze in cond improprii)și a populatiei(supusă unor restricții exagerate),conduce la cresterea nr de imbolnaviri,demisii,decese, imposibilit de a mai salva pe nimeni,nici de cov,nici de hepatită saucancer. Imunizarea nat	0	0	0
Cine este Nelu Tataru, propus la Ministerul Sanatatii	0	0	0
La Stampa: Ajutorul rusesc acordat Italiei este aproape inutil	0	0	0
@santaromica De unde stii, ca in articol nu se mentioneaza...	0	0	0
Perchezitii in trei judete si in Bucuresti la persoane care sustineau ca au teste rapide de COVID-19	0	0	0
@Camelia30_0 știe el să flămânzească cu stil, da' nu știe că românu' să golească rafturi cu stil :))	0	0	0
Cea mai mare criză economică din timpul vieții noastre. Cu ce scop? Ce vor să realizeze prin asta? Habar nu avem. Cel mai probabil vor să șteargă toate libertățile noastre și să pună in mișcare primul guvern global.	0	0	0
@raduneagu_ro Și apropo de timp aparent nici tu nu dormi la "ora asta"😂😂	0	0	0
Franța: Elevii dispun de mai multe metode pentru a-și face lecțiile în perioada de carantină	0	0	0
@trivialuvv Nu am mai mancat o shaorma de vreo 2 ani	0	0	0
Ministerul Sănătății precizează că măștile textile şi cele fabricate manual nu ne protejează de coronavirus...	0	0	0
@itmorar Cred ca e românesc, in zonele unde se poartă cămașă și nu maieu cu găurele :)	0	0	0
Unde plm e pisica care zice ca ai comandat PS4 înaintea fraierilor?	0	0	0
@denis26_denise Pai ce contează, da-le dracu drepturi la viață privată!	0	0	0
@vminsoup Dar imi place cum nu au inchis granitele.I-au lasat sa vina.	0	0	0
O gustare nu strică, e momentul în care poți mânca ceva dulce, dar nu mult ține minte că este doar o gustare!	0	0	0
Și niciodată nu a avut nici un regret.	0	0	0
Ce ziceți?Care veniți la un marș împotriva COVID-19? ✌️	0	0	0
ah am vazut niste peachzens atat de frumosi vreau sa ii admir pe toti	0	0	0
Modelul declarației pe propria răspundere a fost actualizat. Detalii despre noua versiune -	0	0	0
@RobertEVoicu 😅Și eu am niște probleme: una din plantele carnivore vrea să devină vegană. Sincer, n-am știut ce să-i răspund, dar cred că o să mut ficusul ceva mai departe.	0	0	0
Mastile pot fi refolosite dupa spalarea la 60 de grade si reprezinta o solutie pentru cei care continua sa fie…	0	0	0
@floaredecactus Nu înțeleg cu se plictisesc oamenii mari. Eu as vrea sa stau acasă, dar nu pot datorită meseriei.	0	0	0
@miyasvape a da ai stiut sa faci?? e greu?? ca nici nu m am uitat pe exercitii	0	0	0
*Spune-mi cu cine te împrieteneşti	0	0	0
Cioc cioc! Primiti cu testarea?	0	0	0
@MarmotaDeCampie Nu, ala numai in SUA se mai gaseste.	0	0	0
@CloneSandman Un ordinar, dă-l în harat	0	0	0
@veronicaelena20 Cred ca o sa fie la fel. Ideea e dacă o sa pot sa ies. Nu avem nici un polițist pe aici sa zică ce i s-a ordonat sa facă dacă dă de speța mea?	0	0	0
